,sample,n_valid_spectra,mean_mean,mean_std,rel_std,visual_inspection_needed
0,s12_raw,10,1.9513351529411767,0.015968003416141442,0.818311677113665,True
1,s12_raw,26,1.9322978597285068,0.006369157608082899,0.32961572544399464,False
2,s12_raw,58,1.9223557892288945,0.00856284749166675,0.44543510309824197,False
3,s13_raw,48,1.9652118189408303,0.009044054290052232,0.4602076072861505,False
4,s13_raw,59,1.9683965652980349,0.00785877990605279,0.39924779613008987,False
5,s13_raw,46,1.9562793968967411,0.009328709760828512,0.4768597867782437,False
6,s14_raw,14,5.555556963134118,0.9034492988989317,16.262083259952007,True
7,s14_raw,59,2.0875518723828517,0.005496598791712278,0.26330357891601247,False
8,s14_raw,42,2.084710380981162,0.010775785556940129,0.5168960472997953,False
9,s15_raw,16,1.9242531065312132,0.013431524202352095,0.6980123434263104,True
10,s15_raw,59,1.9416672761714855,0.009009493803446834,0.46400811889931276,False
11,s15_raw,59,1.9382715553339975,0.008515000750427937,0.4393089671565993,False
12,s16_raw,55,1.9694330296164524,0.01695732195556745,0.8610255693167638,False
13,s16_raw,55,1.9667976299582473,0.012823487569131887,0.6519983232542391,False
14,s16_raw,38,1.9604443476882323,0.017527586696001785,0.8940619363498087,False
15,s17_raw,18,2.3838800024612405,0.20653996854917703,8.664025384496474,True
16,s17_raw,29,1.4933373045532858,0.02533428876419778,1.6964880397048834,False
17,s17_raw,40,1.4795978392001174,0.023999387847873834,1.6220210121993754,False
18,s18_raw,26,1.254667583977977,0.019563932904147107,1.5592921307585572,False
19,s18_raw,51,1.2530227432753824,0.015346827283121816,1.2247844155649914,False
20,s18_raw,48,1.2471531594411296,0.021004769482045885,1.6842173170982848,False
21,s19_raw,20,2.998661876619988,0.11628307267404739,3.877832095064969,False
22,s19_raw,57,2.8261955046439633,0.012349621680575547,0.4369698295918604,False
23,s19_raw,27,2.8090837647058824,0.009912291353211106,0.3528656381754051,False
24,s20_raw,25,1.612292021859442,0.01919624349819228,1.1906182774540697,False
25,s20_raw,56,1.5916669682132807,0.01024197087885117,0.6434744882811919,False
26,s20_raw,43,1.617253507507785,0.029136470050641784,1.8016019081350814,False
27,s21_raw,6,1.6523518431372548,0.013695581916749437,0.8288538529872779,True
28,s21_raw,31,1.8011227403221877,0.11394191377577757,6.326160412332335,False
29,s21_raw,45,1.6208973659722734,0.013161221930904396,0.8119713318807089,False
30,s22_raw,47,1.2640242684704324,0.012451862185911081,0.9850967656640645,False
31,s22_raw,53,1.2978385587503258,0.011234555249906854,0.8656358045583483,False
32,s22_raw,11,1.265717101604278,0.0061728284361473994,0.48769416391098996,True
33,s23_raw,31,1.410073665572373,0.01555307126027505,1.102997073132473,False
34,s23_raw,40,1.4043737464582287,0.01352567449463165,0.9631107480286377,False
35,s23_raw,41,1.3963407641571148,0.010751563585602872,0.7699813585327026,False
36,s24_raw,9,1.0170654714613365,0.021211679573288893,2.08557660922375,True
37,s24_raw,13,0.9686561514595682,0.010300732086107529,1.063404394901784,True
38,s24_raw,15,0.9745963611807231,0.01106820130600363,1.1356702884253036,True
39,s01_raw,27,0.9900410402159776,0.004020053618245144,0.40604918937180307,False
40,s01_raw,4,1.1218850899101698,0.06640360826572629,5.918931347152789,True
41,s01_raw,17,1.011772579465527,0.012949526906601193,1.2798851411294259,True
42,s02_raw,27,2.216416497428202,0.013475708686931669,0.6079953250017802,False
43,s02_raw,35,2.252441920681818,0.01099232581797985,0.48801816895027655,False
44,s02_raw,36,2.2428254706054793,0.011719332236054513,0.5225253765684554,False
45,s03_raw,22,4.190718571456612,0.34196011662475023,8.15993989560343,False
46,s03_raw,9,3.3865449831516967,0.022612795484389034,0.6677246455277962,True
47,s03_raw,33,3.292475423403117,0.019730232385731874,0.599252229659428,False
48,s04_raw,17,1.0720059962595712,0.02222538941316995,2.0732523410054124,True
49,s04_raw,19,1.0628347459057745,0.02362108894144142,2.2224611147155273,True
50,s04_raw,3,1.0848552140297036,0.017276461436657335,1.5925131034291458,True
51,s05_raw,12,3.5402330288736117,0.23256243302391932,6.569127826535001,True
52,s05_raw,30,2.8436600392156866,0.014746413960069088,0.5185716209640979,False
53,s05_raw,11,3.372455657934301,0.33552472998131433,9.948973804649821,True
54,s06_raw,13,3.099413689166508,0.8533075795401642,27.531258009305464,True
55,s06_raw,12,1.8903949248380285,0.02374471796624093,1.256071821515042,True
56,s06_raw,20,1.8435360269327785,0.02250332725252843,1.220661105818952,False
57,s07_raw,10,2.9689615852918187,0.35073820263598066,11.813497499379288,True
58,s07_raw,31,1.5923088674660342,0.021568397634300646,1.3545360498195382,False
59,s07_raw,15,2.474044173067695,0.38665189158812596,15.62833419860472,True
60,s08_raw,23,2.3565828898857513,0.2853348354538696,12.107990628231322,False
61,s08_raw,6,3.759349784333702,0.2433131644659708,6.472214037648934,True
62,s08_raw,5,3.4959153467577746,0.1300796966822002,3.720905221656478,True
63,s09_raw,9,5.506360886290948,2.7058978069221213,49.14130880267817,True
64,s09_raw,20,1.786692982352941,0.004900043387802606,0.27425212032509444,False
65,s09_raw,37,1.7842541962909395,0.0070293867783821,0.39396778738111443,False
66,s10_raw,12,0.6850230920642912,0.015489424304814484,2.261153599674675,True
67,s10_raw,38,0.6685852511912243,0.007438675421729834,1.1125993893039487,False
68,s10_raw,38,0.6663112947928627,0.0046970532060713836,0.7049337513528965,False
69,s11_raw,23,1.1920776164567028,0.010158414054984643,0.8521604562276088,False
70,s11_raw,59,1.1932972652379503,0.010605194776807214,0.8887303344898286,False
71,s11_raw,59,1.1789847187810685,0.004192810682041876,0.35562892506161986,False
